,,song,singer,urls
1977,38,So in to You,Atlanta Rhythm Section,https://www.youtube.com/watch?v=QyIZ3pYKOQM
1977,39,Dreams,Fleetwood Mac,https://www.youtube.com/watch?v=Y3ywicffOj4
1977,40,Enjoy Yourself,The Jacksons,https://www.youtube.com/watch?v=7IsjqR1IlvE
1977,41,Dazz,Brick,https://www.youtube.com/watch?v=bMfm-3Ya63s
1977,42,I'm in You,Peter Frampton,https://www.youtube.com/watch?v=EH0dq02TOPQ
1977,43,Lucille,Kenny Rogers,https://www.youtube.com/watch?v=nLFVyI-11Sg
1977,44,The Things We Do for Love,10cc,https://www.youtube.com/watch?v=P0rf3_viTxk
1977,45,Da Doo Ron Ron,Shaun Cassidy,https://www.youtube.com/watch?v=hWzbZF-m9D0
1977,46,Handy Man,James Taylor,https://www.youtube.com/watch?v=dXI43zGeyu4
1977,47,Just a Song Before I Go,"Crosby, Stills & Nash",https://www.youtube.com/watch?v=_UoneXjfBC0
1977,48,You and Me,Alice Cooper,https://www.youtube.com/watch?v=_0J6PWG0hok
1977,49,Swayin' to the Music (Slow Dancing),Johnny Rivers,https://www.youtube.com/watch?v=tmiNLVTDFDI
1977,50,Lonely Boy,Andrew Gold,https://www.youtube.com/watch?v=iq2TxnlWunw
1978,1,Shadow Dancing,Andy Gibb,https://www.youtube.com/watch?v=iQgb59Zg_E0
1978,2,Night Fever,Bee Gees,https://www.youtube.com/watch?v=-ihs-vT9T3Q
1978,3,You Light Up My Life,Debby Boone,https://www.youtube.com/watch?v=U8Dj5rU8Law
1978,4,Stayin' Alive,Bee Gees,https://www.youtube.com/watch?v=I_izvAbhExY
1978,5,Kiss You All Over,Exile,https://www.youtube.com/watch?v=Wnzc5FlnFPw
1978,6,How Deep Is Your Love,Bee Gees,https://www.youtube.com/watch?v=C_gbF8tp_hE
1978,7,Baby Come Back,Player,https://www.youtube.com/watch?v=mm-bSGoUDsc
1978,8,(Love Is) Thicker Than Water,Andy Gibb,https://www.youtube.com/watch?v=MOGt_bXUHQA
1978,9,Boogie Oogie Oogie,A Taste of Honey,https://www.youtube.com/watch?v=JYWkG_DI5OE
1978,10,Three Times a Lady,Commodores,https://www.youtube.com/watch?v=3qTPVS1uiQ0
1978,11,Grease,Frankie Valli,https://www.youtube.com/watch?v=0_hYBHyKk34
1978,12,I Go Crazy,Paul Davis,https://www.youtube.com/watch?v=TaD_9TFHc7s
1978,13,You're the One That I Want,"John Travolta,Olivia Newton-John,",https://www.youtube.com/watch?v=7oKPYe53h78
1978,14,Emotion,Samantha Sang,https://www.youtube.com/watch?v=zPwpVJ-eIgg
1978,15,Lay Down Sally,Eric Clapton,https://www.youtube.com/watch?v=UBT9cww54v4
1978,16,Miss You,The Rolling Stones,https://www.youtube.com/watch?v=hic-dnps6MU
1978,17,Just the Way You Are,Billy Joel,https://www.youtube.com/watch?v=_nUP7qs0b0E
1978,18,With a Little Luck,Wings,https://www.youtube.com/watch?v=KzH-2NgtaZk
1978,19,If I Can't Have You,Yvonne Elliman,https://www.youtube.com/watch?v=yf1QLjXmoHk
1978,20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,https://www.youtube.com/watch?v=OTCv4xJ6mRo
1978,21,Feels So Good,Chuck Mangione,https://www.youtube.com/watch?v=5Ekf_css6FQ
1978,22,Hot Child in the City,Nick Gilder,https://www.youtube.com/watch?v=ERqwe_D7anI
1978,23,Love Is Like Oxygen,Sweet,https://www.youtube.com/watch?v=zRgWvvkSvfk
1978,24,It's a Heartache,Bonnie Tyler,https://www.youtube.com/watch?v=bEOl38y8Nj8
1978,25,We Will Rock You,"We Are the Champions,Queen,",https://www.youtube.com/watch?v=-tJYN-eG1zk
1978,26,Baker Street,Gerry Rafferty,https://www.youtube.com/watch?v=Fo6aKnRnBxM
1978,27,Can't Smile Without You,Barry Manilow,https://www.youtube.com/watch?v=3V_7-7myPxM
1978,28,"Too Much, Too Little, Too Late","Johnny Mathis,Deniece Williams,",https://www.youtube.com/watch?v=G3ceb5OVG7k
1978,29,Dance With Me,Peter Brown,https://www.youtube.com/watch?v=pwz7cerVuKE
1978,30,Two Out of Three Ain't Bad,Meat Loaf,https://www.youtube.com/watch?v=k5hWWe-ts2s
